FID,SiteNameAd,GeoX,GeoY,Hectares,Name
"62",102 Manchester Road,-2.277369000000000,53.446061000000000,0.130000000000000,Chorlton
"91",102 Manchester Road,-2.277369000000000,53.446061000000000,0.130000000000000,Chorlton
"150",Chorlton District Centre,-2.279022000000000,53.443306000000000,1.750000000000000,Chorlton
"166",Chorlton Baths,-2.276849000000000,53.447113000000002,0.280000000000000,Chorlton
"145",95 Palatine Road,-2.235446000000000,53.425987999999997,0.260000000000000,Didsbury West
"68","Bowker Bank Industrial EstateOff Bowker Bank Av",-2.242365000000000,53.523338000000003,2.680000000000000,Crumpsall
"104",Former St Thomas School site - Land Bounded By Nunthorpe Dr/ Chataway Rd/ Cottesmore Dr,-2.225136000000000,53.511353999999997,0.330000000000000,Crumpsall
"105","Former Imperial Public House, Delaunays Road",-2.227360000000000,53.521110999999998,0.240000000000000,Crumpsall
"126",Berkeley Court 150 Bury Old Road,-2.251392000000000,53.516955000000003,0.420000000000000,Crumpsall
"227",Parkhill Avenue / Delaunays Road,-2.228596000000000,53.521037000000000,0.380000000000000,Crumpsall
"107",25-33 Central Road,-2.238380000000000,53.428615999999998,0.110000000000000,Old Moat
"119","Former Minehead Centre, Dermot Murphy Close (RP)",-2.244635000000000,53.432747999999997,0.770000000000000,Old Moat
"120",1 And 3 Abberton Road,-2.239579000000000,53.430276999999997,0.060000000000000,Old Moat
"131",5-7 Abberton Road,-2.239775000000000,53.430348000000002,0.060000000000000,Old Moat
"28","Behind Platt Lane Methodist Church, Platt Lane",-2.235534000000000,53.447291999999997,0.090000000000000,Fallowfield
"165",Holy Innocents Church Car Park,-2.220094000000000,53.443105000000003,0.200000000000000,Fallowfield
"226","Oaklands House, Wilbraham Road",-2.221630000000000,53.443147000000003,0.210000000000000,Fallowfield
"23",Store Street opp Wharf Close,-2.227693000000000,53.479197999999997,0.060000000000000,Piccadilly
"25",34 Mason Street Ancoats,-2.232798000000000,53.486854999999998,0.020000000000000,Piccadilly
"35",Oldham Road Sites New Cross Zone A,-2.231316000000000,53.486040000000003,0.550000000000000,Piccadilly
"39",76 - 82 Oldham Street (Car park),-2.233113000000000,53.483834000000002,0.240000000000000,Piccadilly
"42","Cedar House, 3 Cobourg St",-2.233298000000000,53.476453999999997,0.050000000000000,Piccadilly
"47",Crusader Works - Chapeltown St / Baird St,-2.225340000000000,53.478690000000000,0.450000000000000,Piccadilly
"48",65 Whitworth Street,-2.237753000000000,53.475574000000002,0.010000000000000,Piccadilly
"51",1-5 Swan Street,-2.233057000000000,53.484651999999997,0.020000000000000,Piccadilly
"57",Red Lion Street / 2 Union Street,-2.237585000000000,53.483277000000001,0.060000000000000,Piccadilly
"71",25 Rochdale Road,-2.234504000000000,53.487426999999997,0.120000000000000,Piccadilly
"72","NOMA Plots 2, 3, 4 & 5",-2.235614000000000,53.489320999999997,1.380000000000000,Piccadilly
"74",Brownsfield Mill (Picc Basin Plot C),-2.229051000000000,53.482269000000002,0.150000000000000,Piccadilly
"75",23 New Mount Street,-2.235428000000000,53.488252000000003,0.140000000000000,Piccadilly
"76",8 Cable Street (Umbrella Factory Site),-2.232640000000000,53.485525000000003,0.030000000000000,Piccadilly
"77",40 Swan Street,-2.234193000000000,53.485728000000002,0.130000000000000,Piccadilly
"78",Eider House (Piccadilly Basin Framework),-2.229418000000000,53.480559999999997,0.220000000000000,Piccadilly
"92","Cheetwood House, Newton Street",-2.233883000000000,53.481433000000003,0.030000000000000,Piccadilly
"95",Land To Rear Of 56 Dale Street Mangle Street,-2.233503000000000,53.480795000000001,0.020000000000000,Piccadilly
"96",Kampus Phase 2 (Minto & Turner and Minshull House),-2.235233000000000,53.477483999999997,0.240000000000000,Piccadilly
"98",Warp & Weft (42-50 Thomas Street And 7 Kelvin Street),-2.236851000000000,53.483953000000000,0.050000000000000,Piccadilly
"99",12 Minshull Street,-2.235222000000000,53.478239000000002,0.030000000000000,Piccadilly
"100",Land At Richmond Street Manchester M1 3WB,-2.237836000000000,53.476913000000003,0.030000000000000,Piccadilly
"134",London Road Fire Station 50 London Road,-2.232412000000000,53.476869000000001,0.580000000000000,Piccadilly
"142",Remaining New Cross Zone A,-2.233112000000000,53.486395999999999,4.150000000000001,Piccadilly
"154",Mayfield Development Area,-2.226178000000000,53.474823000000001,11.220000000000001,Piccadilly
"157",Port Street/Houldsworth Street,-2.231132000000000,53.482633000000000,0.600000000000000,Piccadilly
"172","Remaining Picc Basin Sites (Plots A, B, D, E, F, G, J, K, L)",-2.229998000000000,53.481962000000003,1.440000000000000,Piccadilly
"175",2-4 Little Lever Street,-2.234350000000000,53.481341999999998,0.050000000000000,Piccadilly
"181",Portugal Street East,-2.224028000000000,53.478548000000004,0.830000000000000,Piccadilly
"186",Shudehill,-2.239268000000000,53.485124999999996,0.220000000000000,Piccadilly
"187",High Street,-2.238743000000000,53.482861000000000,0.250000000000000,Piccadilly
